name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
マカロニゆで,1.49,0.052,0.009,0.284,0.07,0.006,0.001,0.0005,0.0003,0,0,0.004
スパゲッティゆで,1.49,0.052,0.009,0.284,0.07,0.006,0.001,0.0005,0.0003,0,0,0.004
生ふ,1.63,0.127,0.008,0.262,0.13,0.013,0,0.0008,0.0003,0,0,0
ふ,3.85,0.285,0.027,0.569,0.33,0.033,0.009,0.0016,0.0007,0,0,0
竹輪ふ,1.71,0.071,0.012,0.311,0.08,0.005,0,0.0001,0.0002,0,0,0
ぎょうざの皮,2.91,0.093,0.014,0.57,0.16,0.008,0.003,0.0008,0.0004,0,0,0
しゅうまいの皮,2.95,0.083,0.014,0.589,0.16,0.006,0.003,0.0009,0.0004,0,0,0
ピザクラス,2.68,0.091,0.03,0.511,0.13,0.008,0.004,0.0015,0.0011,0,0,0.013
生パン粉,2.8,0.11,0.051,0.476,0.25,0.011,0.004,0.0011,0.0002,0,0,0.009
パン粉,3.73,0.146,0.068,0.634,0.33,0.014,0.006,0.0015,0.0003,0,0,0.012
米,3.56,0.061,0.009,0.771,0.05,0.008,0.002,0.0008,0.0002,0,0,0
こめ,3.56,0.061,0.009,0.771,0.05,0.008,0.002,0.0008,0.0002,0,0,0
ごはん,1.68,0.025,0.003,0.371,0.03,0.001,0,0.0002,0.0001,0,0,0
御飯,1.68,0.025,0.003,0.371,0.03,0.001,0,0.0002,0.0001,0,0,0
全粥,0.71,0.011,0.001,0.157,0.01,0,0,0.0001,0,0,0,0
五分粥,0.36,0.005,0.001,0.079,0.01,0,0,0,0,0,0,0
おもゆ,0.21,0.003,0,0.047,0,0,0,0,0,0,0,0
重湯,0.21,0.003,0,0.047,0,0,0,0,0,0,0,0
アルファ化米,3.87,0.058,0.007,0.852,0.07,0.002,0.001,0.0005,0.0002,0,0,0
おにぎり,1.79,0.027,0.003,0.394,0.03,0.001,0,0.0002,0.0001,0,0,0.005
焼きおにぎり,1.81,0.031,0.003,0.395,0.05,0.002,0,0.0003,0.0002,0,0,0.01
きりたんぽ,2.11,0.035,0.012,0.446,0.08,0.007,0.006,0.002,0.0003,0,0,0
上新粉,3.62,0.062,0.009,0.785,0.05,0.008,0.002,0.0009,0.0002,0,0,0
ビーフン,3.77,0.07,0.016,0.799,0.14,0.007,0,0.0006,0.0002,0,0,0
もち,2.35,0.042,0.008,0.503,0.07,0.002,0.001,0.0005,0.0002,0,0,0
赤飯,1.89,0.039,0.004,0.424,0.07,0.004,0.001,0.0005,0.0002,0,0,0
あくまき,1.32,0.023,0.018,0.257,0.06,0.001,0,0,0,0,0,0
白玉粉,3.69,0.063,0.01,0.8,0.05,0.011,0,0.0003,0.0001,0,0,0
道明寺粉,3.72,0.071,0.007,0.804,0.06,0.004,0,0.0004,0.0001,0,0,0
そば粉,3.61,0.12,0.031,0.696,0.17,0.028,0.009,0.0046,0.0011,0,0,0
生そば,2.74,0.098,0.019,0.545,0.18,0.014,0.004,0.0019,0.0009,0,0,0
そば,1.32,0.048,0.01,0.26,0.09,0.008,0.002,0.0005,0.0002,0,0,0
そば乾,3.44,0.14,0.023,0.667,0.24,0.026,0.005,0.0037,0.0008,0,0,0.022
コーンミール,3.63,0.083,0.04,0.724,0.05,0.015,0.015,0.0015,0.0008,0,0,0
コーングリッツ,3.55,0.082,0.01,0.764,0.02,0.003,0.002,0.0006,0.0005,0,0,0
コーンフラワー,3.63,0.066,0.028,0.761,0.03,0.006,0.003,0.0014,0.0006,0,0,0
ジャイアントコーン,4.35,0.057,0.118,0.766,0.08,0.013,0.017,0.0008,0.0002,0,0,0.011
ポップコーン,4.84,0.102,0.228,0.596,0.07,0.043,0.039,0.0013,0.0008,0,0,0.014
コーンフレーク,3.81,0.078,0.017,0.836,0.01,0.009,0.006,0.0003,0.0002,0,0,0.021
はとむぎ,3.6,0.133,0.013,0.722,0.06,0.004,0,0.0002,0.0005,0,0,0
こんにゃく,0.05,0.001,0,0.023,0.43,0.004,0,0,0,0,0,0
しらたき,0.06,0.002,0,0.03,0.75,0.005,0,0,0,0,0,0
さつまいも,1.32,0.012,0.002,0.315,0.4,0.007,0.016,0.0011,0.0003,0.29,0,0
焼きいも,1.63,0.014,0.002,0.39,0.34,0.007,0.013,0.0012,0.0006,0.23,0,0
干しいも,3.03,0.031,0.006,0.719,0.53,0.021,0.013,0.0019,0.0008,0.09,0,0
さといも,0.72,0.022,0.001,0.161,0.2,0.006,0.007,0.0007,0.0001,0.05,0,0
やつがしら,0.97,0.03,0.007,0.205,0.39,0.007,0.01,0.0013,0.0006,0.07,0,0
じゃがいも,0.76,0.016,0.001,0.176,0.03,0.004,0,0.0009,0.0003,0.35,0,0
フライドポテト,3.88,0.029,0.274,0.324,0.04,0.008,0.054,0.0012,0.0006,0.4,0.01,0
マッシュポテト,3.57,0.066,0.006,0.828,0.24,0.031,0.002,0.0025,0.0005,0.05,0,0.002
いちょういも,1.08,0.045,0.005,0.226,0.12,0.006,0.003,0.0015,0.0005,0.07,0,0
ながいも,0.65,0.022,0.003,0.139,0.17,0.004,0.002,0.001,0.0002,0.06,0,0
やまといも,1.23,0.045,0.002,0.271,0.16,0.005,0.002,0.0013,0.0002,0.05,0,0
じねんじょ,1.21,0.028,0.007,0.267,0.1,0.008,0.041,0.0011,0.0004,0.15,0,0
くずでん粉,3.47,0.002,0.002,0.856,0.18,0.02,0,0,0,0,0,0
でん粉,3.3,0.001,0.001,0.816,0.1,0.006,0,0,0,0,0,0
でんぷん,3.3,0.001,0.001,0.816,0.1,0.006,0,0,0,0,0,0
